,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
54,2022-09-07,269.4236700748124,241.90134720464755,300.4829547524875,269.4236700748124,269.4236700748124,2.7586887819868053,2.7586887819868053,2.7586887819868053,2.7586887819868053,2.7586887819868053,2.7586887819868053,0.0,0.0,0.0,272.18235885679917
55,2022-09-08,269.05886641186527,240.1975505557272,304.62724830078804,269.05886641186527,269.05886641186527,3.3146453562019564,3.3146453562019564,3.3146453562019564,3.3146453562019564,3.3146453562019564,3.3146453562019564,0.0,0.0,0.0,272.3735117680672
56,2022-09-09,268.6940627489182,241.09822232328125,303.98365723367516,268.6940627489182,268.6940627489182,4.260169038971034,4.260169038971034,4.260169038971034,4.260169038971034,4.260169038971034,4.260169038971034,0.0,0.0,0.0,272.9542317878892
57,2022-09-12,266.23429005017834,241.4464221013754,302.3460273870832,266.23429005017834,266.23429005017834,4.988421676268344,4.988421676268344,4.988421676268344,4.988421676268344,4.988421676268344,4.988421676268344,0.0,0.0,0.0,271.2227117264467
58,2022-09-13,265.41436581726504,236.05634320596562,299.57728511502,265.41436581726504,265.41436581726504,2.0726856794632753,2.0726856794632753,2.0726856794632753,2.0726856794632753,2.0726856794632753,2.0726856794632753,0.0,0.0,0.0,267.4870514967283
59,2022-09-14,264.5944415843518,237.8037514007249,297.38409914028136,264.5944415843518,264.5944415843518,2.758688781985765,2.758688781985765,2.758688781985765,2.758688781985765,2.758688781985765,2.758688781985765,0.0,0.0,0.0,267.35313036633755
60,2022-09-15,263.77451735143853,239.2468968910408,298.43001658315256,263.77451735143853,263.77451735143853,3.314645356207453,3.314645356207453,3.314645356207453,3.314645356207453,3.314645356207453,3.314645356207453,0.0,0.0,0.0,267.089162707646
61,2022-09-16,262.9545931185252,236.45551714034895,295.98169711820464,262.9545931185252,262.9545931185252,4.260169038974564,4.260169038974564,4.260169038974564,4.260169038974564,4.260169038974564,4.260169038974564,0.0,0.0,0.0,267.21476215749976
62,2022-09-19,260.4948204197854,234.8411704765254,295.26153656927204,260.4948204197854,260.4948204197854,4.988421676243826,4.988421676243826,4.988421676243826,4.988421676243826,4.988421676243826,4.988421676243826,0.0,0.0,0.0,265.48324209602924
63,2022-09-20,259.6748961868721,232.05421538964544,290.0819110737305,259.6748961868721,259.6748961868721,2.072685679453802,2.072685679453802,2.072685679453802,2.072685679453802,2.072685679453802,2.072685679453802,0.0,0.0,0.0,261.7475818663259
64,2022-09-21,258.85497195395885,232.10470577811978,290.5538237549653,258.85497195395885,258.85497195395885,2.758688781985867,2.758688781985867,2.758688781985867,2.758688781985867,2.758688781985867,2.758688781985867,0.0,0.0,0.0,261.61366073594473
65,2022-09-22,257.7154634451466,229.65483104368974,292.5868704239229,257.7154634451466,257.7154634451466,3.3146453562040694,3.3146453562040694,3.3146453562040694,3.3146453562040694,3.3146453562040694,3.3146453562040694,0.0,0.0,0.0,261.0301088013507
66,2022-09-23,256.5759549363344,229.5015869303864,291.70261090632323,256.5759549363344,256.5759549363344,4.260169038964401,4.260169038964401,4.260169038964401,4.260169038964401,4.260169038964401,4.260169038964401,0.0,0.0,0.0,260.83612397529885
67,2022-09-26,253.1574294098977,226.1058366249172,289.17238625851326,253.1574294098977,253.1574294098977,4.988421676252276,4.988421676252276,4.988421676252276,4.988421676252276,4.988421676252276,4.988421676252276,0.0,0.0,0.0,258.14585108615
68,2022-09-27,252.01792090108552,223.38770905546343,284.29807519067543,252.01792090108552,252.01792090108552,2.072685679453784,2.072685679453784,2.072685679453784,2.072685679453784,2.072685679453784,2.072685679453784,0.0,0.0,0.0,254.09060658053932
69,2022-09-28,250.87841239227325,224.15957750164208,285.97281405613626,250.87841239227325,250.87841239227325,2.7586887819882717,2.7586887819882717,2.7586887819882717,2.7586887819882717,2.7586887819882717,2.7586887819882717,0.0,0.0,0.0,253.63710117426152
70,2022-09-29,249.738903883461,222.21402470495426,283.05748815772404,249.738903883461,249.738903883461,3.3146453562095655,3.3146453562095655,3.3146453562095655,3.3146453562095655,3.3146453562095655,3.3146453562095655,0.0,0.0,0.0,253.05354923967056
71,2022-09-30,248.59939537464876,223.19420632224205,283.78207656723583,248.59939537464876,248.59939537464876,4.260169038993044,4.260169038993044,4.260169038993044,4.260169038993044,4.260169038993044,4.260169038993044,0.0,0.0,0.0,252.8595644136418
72,2022-10-03,245.1808698482121,219.1787147259543,279.60462523252374,245.1808698482121,245.1808698482121,4.988421676249903,4.988421676249903,4.988421676249903,4.988421676249903,4.988421676249903,4.988421676249903,0.0,0.0,0.0,250.169291524462
73,2022-10-04,244.04136134069458,216.06989082585406,277.1381582160449,244.04136134069458,244.04136134069458,2.072685679449038,2.072685679449038,2.072685679449038,2.072685679449038,2.072685679449038,2.072685679449038,0.0,0.0,0.0,246.11404702014363
74,2022-10-05,242.90185283317703,213.92669441111238,275.6078992560554,242.90185283317703,242.90185283317703,2.758688781982623,2.758688781982623,2.758688781982623,2.758688781982623,2.758688781982623,2.758688781982623,0.0,0.0,0.0,245.66054161515964
75,2022-10-06,241.76234432565948,215.0814683652622,272.19248121855617,241.76234432565948,241.76234432565948,3.3146453562061815,3.3146453562061815,3.3146453562061815,3.3146453562061815,3.3146453562061815,3.3146453562061815,0.0,0.0,0.0,245.07698968186565
76,2022-10-07,240.62283581814197,213.2453682829728,275.7669623704874,240.62283581814197,240.62283581814197,4.26016903898288,4.26016903898288,4.26016903898288,4.26016903898288,4.26016903898288,4.26016903898288,0.0,0.0,0.0,244.88300485712483
77,2022-10-10,237.2043102955893,212.39055030129094,273.3869849643072,237.2043102955893,237.2043102955893,4.988421676258353,4.988421676258353,4.988421676258353,4.988421676258353,4.988421676258353,4.988421676258353,0.0,0.0,0.0,242.19273197184765
78,2022-10-11,236.06480178807178,213.00422037320195,270.16900854873546,236.06480178807178,236.06480178807178,2.0726856794645023,2.0726856794645023,2.0726856794645023,2.0726856794645023,2.0726856794645023,2.0726856794645023,0.0,0.0,0.0,238.1374874675363
79,2022-10-12,234.92529328055423,206.59522114589794,266.96657005614156,234.92529328055423,234.92529328055423,2.7586887819827237,2.7586887819827237,2.7586887819827237,2.7586887819827237,2.7586887819827237,2.7586887819827237,0.0,0.0,0.0,237.68398206253696
80,2022-10-13,233.78578477303665,207.79288575318284,266.1978865412072,233.78578477303665,233.78578477303665,3.3146453562205562,3.3146453562205562,3.3146453562205562,3.3146453562205562,3.3146453562205562,3.3146453562205562,0.0,0.0,0.0,237.1004301292572
81,2022-10-14,232.6462762668455,205.41890163527017,266.7235135814405,232.6462762668455,232.6462762668455,4.26016903898641,4.26016903898641,4.26016903898641,4.26016903898641,4.26016903898641,4.26016903898641,0.0,0.0,0.0,236.9064453058319
82,2022-10-17,229.22775074827206,205.7616893929204,264.5279581717375,229.22775074827206,229.22775074827206,4.98842167625598,4.98842167625598,4.98842167625598,4.98842167625598,4.98842167625598,4.98842167625598,0.0,0.0,0.0,234.21617242452803
83,2022-10-18,228.08824224208092,200.74848969159117,259.7999760471002,228.08824224208092,228.08824224208092,2.0726856794597563,2.0726856794597563,2.0726856794597563,2.0726856794597563,2.0726856794597563,2.0726856794597563,0.0,0.0,0.0,230.1609279215407
84,2022-10-19,226.9487337358898,199.7655005603013,258.39999581245996,226.9487337358898,226.9487337358898,2.758688781982826,2.758688781982826,2.758688781982826,2.758688781982826,2.758688781982826,2.758688781982826,0.0,0.0,0.0,229.7074225178726
85,2022-10-20,225.8092252296986,198.47842362443677,258.26159635416946,225.8092252296986,225.8092252296986,3.314645356217173,3.314645356217173,3.314645356217173,3.314645356217173,3.314645356217173,3.314645356217173,0.0,0.0,0.0,229.12387058591577
86,2022-10-21,224.66971672350743,196.53774330443304,261.4891147822764,224.66971672350743,224.66971672350743,4.260169038976247,4.260169038976247,4.260169038976247,4.260169038976247,4.260169038976247,4.260169038976247,0.0,0.0,0.0,228.92988576248368
87,2022-10-24,221.25119120493403,194.51583113328888,256.2646678948886,221.25119120493403,221.25119120493403,4.988421676275251,4.988421676275251,4.988421676275251,4.988421676275251,4.988421676275251,4.988421676275251,0.0,0.0,0.0,226.23961288120927
88,2022-10-25,220.1116826987429,189.19999854484533,251.58796870857972,220.1116826987429,220.1116826987429,2.072685679459738,2.072685679459738,2.072685679459738,2.072685679459738,2.072685679459738,2.072685679459738,0.0,0.0,0.0,222.18436837820263
89,2022-10-26,218.97217418735121,188.7516715732023,251.56112855225604,218.97217418735121,218.97217418735121,2.7586887819852306,2.7586887819852306,2.7586887819852306,2.7586887819852306,2.7586887819852306,2.7586887819852306,0.0,0.0,0.0,221.73086296933644
90,2022-10-27,217.8326656759595,188.48442609967748,255.43038001042325,217.8326656759595,217.8326656759595,3.314645356203533,3.314645356203533,3.314645356203533,3.314645356203533,3.314645356203533,3.314645356203533,0.0,0.0,0.0,221.14731103216303
91,2022-10-28,216.69315716456782,187.96504645666099,251.9020021206318,216.69315716456782,216.69315716456782,4.260169038979778,4.260169038979778,4.260169038979778,4.260169038979778,4.260169038979778,4.260169038979778,0.0,0.0,0.0,220.9533262035476
92,2022-10-31,213.27463163039272,188.4682689705956,249.71014967839417,213.27463163039272,213.27463163039272,4.988421676272879,4.988421676272879,4.988421676272879,4.988421676272879,4.988421676272879,4.988421676272879,0.0,0.0,0.0,218.2630533066656
93,2022-11-01,212.13512311900098,183.9097375637169,242.09682558141742,212.13512311900098,212.13512311900098,2.072685679470475,2.072685679470475,2.072685679470475,2.072685679470475,2.072685679470475,2.072685679470475,0.0,0.0,0.0,214.20780879847146
94,2022-11-02,210.9956146076093,182.7458734856395,244.00135461240833,210.9956146076093,210.9956146076093,2.7586887819876353,2.7586887819876353,2.7586887819876353,2.7586887819876353,2.7586887819876353,2.7586887819876353,0.0,0.0,0.0,213.75430338959694
95,2022-11-03,209.8561060962176,182.7317067276526,242.45311002577608,209.8561060962176,209.8561060962176,3.3146453562090286,3.3146453562090286,3.3146453562090286,3.3146453562090286,3.3146453562090286,3.3146453562090286,0.0,0.0,0.0,213.17075145242663
96,2022-11-04,208.7165975848259,181.0024653390344,242.71054515596032,208.7165975848259,208.7165975848259,4.26016903895592,4.26016903895592,4.26016903895592,4.26016903895592,4.26016903895592,4.26016903895592,0.0,0.0,0.0,212.97676662378183
97,2022-11-07,205.29807205464317,181.9686561693154,240.8338977736712,205.29807205464317,205.29807205464317,4.988421676248362,4.988421676248362,4.988421676248362,4.988421676248362,4.988421676248362,4.988421676248362,0.0,0.0,0.0,210.28649373089152
98,2022-11-08,204.15856354458225,174.73307257554748,236.83420705910024,204.15856354458225,204.15856354458225,2.072685679470456,2.072685679470456,2.072685679470456,2.072685679470456,2.072685679470456,2.072685679470456,0.0,0.0,0.0,206.2312492240527
99,2022-11-09,203.01905503452133,174.69617988928542,235.29743568180157,203.01905503452133,203.01905503452133,2.7586887819877366,2.7586887819877366,2.7586887819877366,2.7586887819877366,2.7586887819877366,2.7586887819877366,0.0,0.0,0.0,205.77774381650906
